TABLE_CAT	TABLE_SCHEM	TABLE_NAME	COLUMN_NAME	DATA_TYPE	TYPE_NAME	COLUMN_SIZE	BUFFER_LENGTH	DECIMAL_DIGITS	NUM_PREC_RADIX	NULLABLE	REMARKS	COLUMN_DEF	SQL_DATA_TYPE	SQL_DATETIME_SUB	CHAR_OCTET_LENGTH	ORDINAL_POSITION	SCOPE_CATALOG	SCOPE_SCHEMA	SCOPE_TABLE	SOURCE_DATA_TYPE	IS_NULLABLE
im_monet	dba	resumenbonos_2016	numoperacion	-5	bigint	64	0	0	10	0	(null)	(null)	0	0	0	1	(null)	(null)	(null)	1111	NO
im_monet	dba	resumenbonos_2016	foliobono	-5	bigint	64	0	0	10	0	(null)	(null)	0	0	0	2	(null)	(null)	(null)	1111	NO
im_monet	dba	resumenbonos_2016	fecemision	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	3	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	fecmovimiento	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	4	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codestadobono	5	smallint	16	0	0	10	1	(null)	(null)	0	0	0	5	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	descestado	1	char	20	0	0	10	1	(null)	(null)	0	0	0	6	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codfinanciador	5	smallint	16	0	0	10	1	(null)	(null)	0	0	0	7	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	nombrefinanciador	1	char	50	0	0	10	1	(null)	(null)	0	0	0	8	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codlugar	4	int	32	0	0	10	1	(null)	(null)	0	0	0	9	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	nombrelugar	1	char	50	0	0	10	1	(null)	(null)	0	0	0	10	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	rutconvenio	1	char	12	0	0	10	1	(null)	(null)	0	0	0	11	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	nombreprestador	1	char	50	0	0	10	1	(null)	(null)	0	0	0	12	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	ruttratante	1	char	12	0	0	10	1	(null)	(null)	0	0	0	13	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codcomuna	1	char	5	0	0	10	1	(null)	(null)	0	0	0	14	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	glosacomuna	1	char	20	0	0	10	1	(null)	(null)	0	0	0	15	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codregion	1	char	2	0	0	10	1	(null)	(null)	0	0	0	16	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	glosaregion	1	char	30	0	0	10	1	(null)	(null)	0	0	0	17	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	rutsolicitante	1	char	12	0	0	10	1	(null)	(null)	0	0	0	18	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	nombresolicitante	1	char	50	0	0	10	1	(null)	(null)	0	0	0	19	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codindordenmedica	1	char	1	0	0	10	1	(null)	(null)	0	0	0	20	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codurgencia	1	char	1	0	0	10	1	(null)	(null)	0	0	0	21	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codespecialidad	1	char	15	0	0	10	1	(null)	(null)	0	0	0	22	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	rutbeneficiario	1	char	12	0	0	10	1	(null)	(null)	0	0	0	23	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	nombrebeneficiario	1	char	50	0	0	10	1	(null)	(null)	0	0	0	24	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	edadbeneficiario	-5	bigint	64	0	0	10	1	(null)	(null)	0	0	0	25	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	sexobeneficiario	1	char	1	0	0	10	1	(null)	(null)	0	0	0	26	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	rutacompanante	1	char	12	0	0	10	1	(null)	(null)	0	0	0	27	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	tipbonadic	-5	bigint	64	0	0	10	1	(null)	(null)	0	0	0	28	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codseguro	5	smallint	16	0	0	10	1	(null)	(null)	0	0	0	29	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	nombreseguro	1	char	50	0	0	10	1	(null)	(null)	0	0	0	30	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codliquidador	5	smallint	16	0	0	10	1	(null)	(null)	0	0	0	31	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	nombreliquidador	1	char	50	0	0	10	1	(null)	(null)	0	0	0	32	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	codagrupador	5	smallint	16	0	0	10	1	(null)	(null)	0	0	0	33	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	nombreagrupador	1	char	50	0	0	10	1	(null)	(null)	0	0	0	34	(null)	(null)	(null)	1111	YES
im_monet	dba	resumenbonos_2016	mtototal	3	decimal	10	0	0	10	1	(null)	(null)	0	0	0	35	(null)	(null)	(null)	1111	YES
