TABLE_CAT	TABLE_SCHEM	TABLE_NAME	COLUMN_NAME	DATA_TYPE	TYPE_NAME	COLUMN_SIZE	BUFFER_LENGTH	DECIMAL_DIGITS	NUM_PREC_RADIX	NULLABLE	REMARKS	COLUMN_DEF	SQL_DATA_TYPE	SQL_DATETIME_SUB	CHAR_OCTET_LENGTH	ORDINAL_POSITION	SCOPE_CATALOG	SCOPE_SCHEMA	SCOPE_TABLE	SOURCE_DATA_TYPE	IS_NULLABLE
im_monet	lme	lme_licencias	id_licencia	4	int	32	0	0	10	0	(null)	(null)	0	0	0	1	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	dv_licencia	1	char	1	0	0	10	0	(null)	(null)	0	0	0	2	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	paterno_trabajador	12	varchar	100	0	0	10	0	(null)	(null)	0	0	0	3	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	materno_trabajador	12	varchar	100	0	0	10	0	(null)	(null)	0	0	0	4	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	nombre_trabajador	12	varchar	100	0	0	10	0	(null)	(null)	0	0	0	5	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	rut_trabajador	4	int	32	0	0	10	0	(null)	(null)	0	0	0	6	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	dv_trabajador	1	char	1	0	0	10	0	(null)	(null)	0	0	0	7	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	fecha_emision	93	timestamp	7	0	0	10	0	(null)	(null)	0	0	0	8	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	fecha_inicio_reposo	93	timestamp	7	0	0	10	0	(null)	(null)	0	0	0	9	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	edad_trabajador	4	int	32	0	0	10	1	(null)	(null)	0	0	0	10	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	sexo_trabajador	1	char	1	0	0	10	0	(null)	(null)	0	0	0	11	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	dias_licencia	4	int	32	0	0	10	0	(null)	(null)	0	0	0	12	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	fecha_nac_hijo	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	13	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	paterno_hijo	12	varchar	100	0	0	10	1	(null)	(null)	0	0	0	14	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	materno_hijo	12	varchar	100	0	0	10	1	(null)	(null)	0	0	0	15	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	nombre_hijo	12	varchar	100	0	0	10	1	(null)	(null)	0	0	0	16	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	rut_hijo	4	int	32	0	0	10	1	(null)	(null)	0	0	0	17	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	dv_hijo	1	char	1	0	0	10	1	(null)	(null)	0	0	0	18	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	mortinato_hijo	12	varchar	2	0	0	10	0	(null)	(null)	0	0	0	19	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	codigo_tipo_lcc	4	int	32	0	0	10	0	(null)	(null)	0	0	0	20	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	fecha_concepcion	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	21	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	codigo_tipo_reposo	4	int	32	0	0	10	0	(null)	(null)	0	0	0	22	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	codigo_duracion_reposo	1	char	1	0	0	10	1	(null)	(null)	0	0	0	23	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	codigo_lugar_reposo1	4	int	32	0	0	10	0	(null)	(null)	0	0	0	24	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	codigo_lugar_reposo2	4	int	32	0	0	10	1	(null)	(null)	0	0	0	25	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	reposo_dir_glosa1	12	varchar	255	0	0	10	0	(null)	(null)	0	0	0	26	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	reposo_dir_comuna1	4	int	32	0	0	10	1	(null)	(null)	0	0	0	27	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	reposo_fono1	12	varchar	25	0	0	10	0	(null)	(null)	0	0	0	28	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	reposo_dir_glosa2	12	varchar	255	0	0	10	1	(null)	(null)	0	0	0	29	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	reposo_dir_comuna2	4	int	32	0	0	10	1	(null)	(null)	0	0	0	30	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	reposo_fono2	12	varchar	25	0	0	10	1	(null)	(null)	0	0	0	31	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	cod_validacion_trabajador	12	varchar	100	0	0	10	0	(null)	(null)	0	0	0	32	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	id_persona_profesional	4	int	32	0	0	10	0	(null)	(null)	0	0	0	33	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	paterno_profesional	12	varchar	100	0	0	10	0	(null)	(null)	0	0	0	34	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	materno_profesional	12	varchar	100	0	0	10	0	(null)	(null)	0	0	0	35	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	nombre_profesional	12	varchar	100	0	0	10	0	(null)	(null)	0	0	0	36	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	pro_especialidad	4	int	32	0	0	10	1	(null)	(null)	0	0	0	37	(null)	(null)	(null)	1111	YES
